,AA,AE,AH,AO,AW,AY,B,CH,D,DH,EH,ER,EY,F,G,HH,IH,IY,JH,K,L,M,N,NG,OW,OY,P,R,S,SH,T,TH,UH,UW,V,W,Y,Z,ZH
L,0.15912499377739012,0.1567290741277065,0.15261171140861463,0.15997935442814665,0.17702329656418425,0.1567394523578297,0.15468345961577762,0.16907364266766073,0.15612418148752405,0.15949317969260085,0.15040809352521614,0.14406606290361992,0.15405754034842056,0.1631738309519293,0.16743878033301435,0.16708560488005617,0.15238942621189128,0.15706447668301754,0.16987776155191658,0.1610994937497105,0.0,0.14008602955998856,0.14412808583919567,0.21365054203152245,0.15742266838815017,0.18358727010435374,0.15668382305986492,0.11738783961401683,0.1516034062268409,0.1667687369250746,0.14749271373110104,0.16435920837783818,0.1849214250958443,0.171559089663756,0.15603051575107246,0.14724197975407127,0.17071243979943695,0.15629739555400196,0.18931464055297004
M,0.16055792079191394,0.1560051828322577,0.16203431034376686,0.1614367104075485,0.1752434684779552,0.16377815768444318,0.14257882935977623,0.16094209080614988,0.1547170587929236,0.16498685060030516,0.15289358159321365,0.14916527399587748,0.16450183989382106,0.15326890839940796,0.14893591973376602,0.1629483870865836,0.15179691595756867,0.15713645381434743,0.15258513575898955,0.15471969969625315,0.13815469649615106,0.0,0.12534135556337017,0.21158072049204274,0.1594836742828647,0.19672080028364392,0.1521478858994239,0.14138444567180927,0.1530472086400152,0.17460774745324298,0.14429128273627456,0.16016165026075496,0.19780854169886408,0.16830188797109202,0.1378576207234079,0.15633575313938422,0.1888328879477965,0.1577447791790913,0.18473350643864966
N,0.16076590511417904,0.1589820859805735,0.15673124291223264,0.1651670747445474,0.1689123134622547,0.15828203362919288,0.14887544828209873,0.14868761104286135,0.16094941055935968,0.15039500819977986,0.15065363887187921,0.15013714528610422,0.15524159567441914,0.156534857934659,0.1670167730445428,0.16536846883306477,0.15164093083597063,0.15769365659357784,0.15446102722804778,0.1534342096706996,0.14339354836499485,0.13347350386424942,0.0,0.2101615091377433,0.1599527624234583,0.18995423431142844,0.1448449146540799,0.14172235060296967,0.15209771850610498,0.15431000615109708,0.15690528724367198,0.1710075256722794,0.19132907141940997,0.16361860980235599,0.14600423527629963,0.1559472072545311,0.20007181624984927,0.15806258641735238,0.18997152424086133
NG,0.15750125337251586,0.16116987626225582,0.16444682613887973,0.16808180351559202,0.16558315626591757,0.15935734897369297,0.1644084671910997,0.1631675842646486,0.15834190708229096,0.16985800067400417,0.16445803073889337,0.15840454541494786,0.159580782333683,0.16483092979292266,0.15810043372788293,0.1616985886021644,0.16028710000890734,0.15701243577961024,0.16407428742448418,0.16527530519825223,0.15419896439389408,0.15073968990571124,0.1117372130694312,0.0,0.16478364510282162,0.1795121561831691,0.16642127459379424,0.1511232064078887,0.1552776125867052,0.1726517046649405,0.1557819381497669,0.1466880471742505,0.17329383644452961,0.1669742033140145,0.16726242209216896,0.1526009291597222,0.17650921716694362,0.15703064807032474,0.18916328892927975
OW,0.13239486619655833,0.12871201792931034,0.11775105316820128,0.12728269302257197,0.1432450273685676,0.1294766409006301,0.15799787422920347,0.16777214559363035,0.15633382091464484,0.1845393732701509,0.11671387942935496,0.1247168594004935,0.12455425178176513,0.16710682146690026,0.17628043526335102,0.18636902842034567,0.12169590057059493,0.12457612321238022,0.1728372047515208,0.16899225087374503,0.1439950177063761,0.16193509079819562,0.1614320761851917,0.23259376134646115,0.0,0.14139279066661112,0.154007812242329,0.1494682051999442,0.15806924245141085,0.19473807589304296,0.15002556495829494,0.17519403285700824,0.1744032648079475,0.13883171924606807,0.1702214181731327,0.17860148863914388,0.20321671776677436,0.15910451790378835,0.2163426835494645
OY,0.14395006168164362,0.14952027319357214,0.14064321162714769,0.14492624900448198,0.14820632553951063,0.13570459969709478,0.15995349280530038,0.16904103928055714,0.15301660715762597,0.17888754059953527,0.14066533892188912,0.14225999745803458,0.12027083545664721,0.1721291549708145,0.18062566481819659,0.17731926435230966,0.13753525441103603,0.13882670055424856,0.17357389769065373,0.17511791099838614,0.15698221968809895,0.16985851768539678,0.16366807415238444,0.212465232538588,0.1251050953589779,0.0,0.1637771128429383,0.15192698042574382,0.1627580253493198,0.17443266968102528,0.15676867367395453,0.1769115197751144,0.16350629377249606,0.1406497694717827,0.16918634330314247,0.17970997473071518,0.17972952597830988,0.16461741989554873,0.19521539702599833
P,0.16822306428769185,0.15829701727023618,0.15717302626319452,0.15838832393409502,0.17387425359616737,0.15291384244365944,0.11512279377302383,0.152069210210999,0.1595413061024427,0.16631272208707845,0.14750665043473388,0.15122042215827716,0.14922997316566838,0.12029960402750683,0.15383156855049593,0.1775233394691912,0.15326714189493684,0.15563341113708512,0.16992205385456838,0.12020375391678295,0.15577513890275707,0.15364062478881174,0.1455687366905282,0.2329834345631562,0.15271500254964376,0.18980214506287216,0.0,0.150993717581676,0.14427528616646587,0.17573101384505552,0.14368241066504484,0.16599876963082483,0.19368624556380326,0.16184254875344073,0.14838139407045237,0.16482172694423675,0.19382338689922818,0.1551027462440861,0.18469001085923795
R,0.15996857570511863,0.147344002997224,0.14844440389444333,0.1685063525316389,0.1655156245205474,0.15746793320888713,0.15738478489295293,0.15560293449045282,0.1526702245930938,0.17074858260487324,0.14748794066013046,0.1146404876820392,0.1491938830227958,0.16070042532187206,0.17249016967761716,0.17168088654280944,0.14925844211003583,0.15274500161420032,0.16330073309206997,0.1632742668906106,0.11987897977651787,0.1467875778388507,0.14642891584684908,0.21515385817174076,0.15397847069418047,0.18388076932733627,0.15581494792454853,0.0,0.14059497334813245,0.17539620708085216,0.150638092500125,0.16629630954843813,0.189311186921361,0.16590979682105472,0.16354844284720949,0.15685029261237798,0.18019104361502153,0.14886991880701098,0.20232644432881358
S,0.15713524395195716,0.1559052901281008,0.14991033424331734,0.16329982727393225,0.1740781857736302,0.16111425893696218,0.1534622709494794,0.13357270919965722,0.15108251691418112,0.1687447273152878,0.14902588959971233,0.14841647593736873,0.14975209860703215,0.14687820013588626,0.1687988311878043,0.17852775737886212,0.1535665989956463,0.15789419930868964,0.16564232172864332,0.15191487933868925,0.15171317794211478,0.15468325022963267,0.1531160548579884,0.21416298117534016,0.15733658238290504,0.18977688000017784,0.14447749083935335,0.13720858791959345,0.0,0.17251621505099943,0.14688809017561838,0.15183713962485515,0.1873045212309563,0.1644228492321735,0.1617594570153576,0.15988432383133525,0.18747208577589597,0.08275049794290833,0.20871154681164988
SH,0.16696168123997532,0.16887806772019923,0.16617727735485274,0.1642924560830454,0.16772474409320684,0.1668355374191823,0.15545888796752272,0.12639992230824706,0.16210311543186,0.16164249883778609,0.16048794789475918,0.16323939633001588,0.16037136896252446,0.15664320961961076,0.16745911066491448,0.16626981598673451,0.16622996147719798,0.1620935873760543,0.1564940963137244,0.15955440602669402,0.14767555993405979,0.1552933245657019,0.13898049497014814,0.2085169414622336,0.16846881158275967,0.17724838195212778,0.15536941881565042,0.1498552531374187,0.14633118142276536,0.0,0.15668146741892108,0.16791412961905613,0.17620855622844853,0.17212572201286722,0.15782757385649201,0.15529101195434494,0.1678323727362126,0.16950784707753885,0.12999189609756312
T,0.1658016494168185,0.15881008796038554,0.1555554736995162,0.16703128779242987,0.16864566050182983,0.16510908201254126,0.1558197540799811,0.14499039608350137,0.10866582435224703,0.17174656947568148,0.1460448865500612,0.15411551815465285,0.15456410254147904,0.15757924207404356,0.1658463444446467,0.165372884931273,0.15506541000677196,0.15288537929053608,0.1539330468424783,0.14852292766113112,0.1482325556851317,0.1463914582416973,0.1593982550399989,0.21767857674641472,0.15008435287355984,0.1826456085060375,0.15318929754280763,0.146911053671611,0.1459297991837487,0.1807936065299011,0.0,0.1423964923179412,0.18686325593694214,0.17174009279882688,0.16303017088807709,0.15535851424471941,0.17759079391952237,0.15471806867357388,0.20016091091662175
TH,0.1664866587723787,0.16073814729769564,0.1613187089891786,0.17354984188800798,0.16824356050723624,0.15660337323458623,0.15405129961829586,0.15710462830433025,0.1473486179236479,0.14060113919104694,0.15497492896802206,0.15444306003092403,0.1591851956809725,0.1374601270735681,0.15433045370034096,0.16850098119501375,0.15555522601218408,0.15874361004442114,0.15753781153839552,0.1607099484765225,0.154224167473465,0.15275451142058513,0.16149985485390225,0.18505622687738432,0.16355075331966223,0.19333418529238666,0.15480497516585207,0.1518604115014619,0.14090565690331822,0.17985262369486776,0.13072754837977274,0.0,0.17755969983224065,0.17831730108863797,0.16989047899472967,0.1582585201061953,0.17910531970958077,0.14071691866168648,0.19900787694637728
UH,0.14556650775906316,0.15442903109152556,0.14320357243124887,0.14658771404906765,0.153603727439296,0.1462935258616959,0.15826830972501954,0.16283588345757488,0.1663638766748642,0.17829550500172625,0.1414084685194212,0.14580204272495068,0.14511849772772878,0.15595525220792,0.17376920618747738,0.16516068571028325,0.13646698185638034,0.15487558501994034,0.17406273187508498,0.16251228780029686,0.15856187358915996,0.17078874731074423,0.16506157845352648,0.20632693784342704,0.1483811903565132,0.16337402383521613,0.16651871010371222,0.1575010025921903,0.16126418502042625,0.1736768618658447,0.1603905350736775,0.1637898626655208,0.0,0.15045154852754494,0.16908270741001236,0.1702394625493111,0.17736317196069515,0.161518959871232,0.1897407215455733
UW,0.14083765680566598,0.14161291744625631,0.13658898557969082,0.15129232288683198,0.16020903053825036,0.14035918994553193,0.15495355005700528,0.15803000852553753,0.1652313272383525,0.18783548868729175,0.1374086836186161,0.13314514797273697,0.13865331915132065,0.16192934314411678,0.17366285130256326,0.1848427345225842,0.13775576070450318,0.14163817669658962,0.16928757350315365,0.171858134128705,0.15808681778158146,0.16141901524342356,0.15683763060566774,0.2226850592988982,0.12807800916358975,0.15339112646033953,0.15557548922234782,0.15330957241077864,0.15740554777415125,0.18910301230154308,0.16372844210921805,0.18221362244392683,0.16349722201320527,0.0,0.14935015812935137,0.16579210514102255,0.18317100388010674,0.1598532957842284,0.18769860068412253
V,0.163517690057792,0.16429186207686106,0.16226881132894427,0.16390363206779512,0.18456036087724975,0.16915819835325818,0.1106019527032733,0.1562125081438743,0.1494711242384557,0.14958216255921547,0.15823059122215882,0.1570272906486062,0.16731091914568508,0.11740192445500482,0.13861680686056543,0.16572203748767683,0.1605137899696485,0.16011581080170822,0.1463599558829241,0.14911871393882387,0.1513344603331006,0.13480341708361981,0.1436346178521102,0.22825915087902612,0.1654773091778732,0.19206317444778293,0.1436453082998938,0.15211613154320625,0.15778505683012684,0.17475637190415583,0.1567977464031446,0.1755200721660963,0.19185320606582393,0.15301678925817958,0.0,0.16037559852966135,0.18293909142527243,0.1515256239194639,0.17284091445578936
W,0.1715244370737733,0.14994007362084333,0.15961698210059688,0.1673532035866988,0.171671619309448,0.16595393792440338,0.1570986964003272,0.14851212497026883,0.16284083688318135,0.16613534819015163,0.16009445704835568,0.15628422903103178,0.15884859821376818,0.15857902570967458,0.16124682035872087,0.16909470378860356,0.15928619991384477,0.1618149689596184,0.15735453689435275,0.15672432212582638,0.10263135496543663,0.14828377660842468,0.14823088818814611,0.19467115449968558,0.16512559963893797,0.19345162573930963,0.15587200954499847,0.14023539552171455,0.15111587692559086,0.16576249045620006,0.14671260848563356,0.15848051261580437,0.1858248848245218,0.16418648616823148,0.15464920144567795,0.0,0.17662687400740684,0.16181660883053456,0.18377002367434975
Y,0.1662220429186247,0.16492601387960554,0.1560437671192903,0.1688576200051994,0.17692958371705378,0.16492763153443102,0.16601394485789273,0.16023649073769686,0.15812276689464194,0.1731289613392335,0.15584458992528397,0.15542489949313507,0.1566197067931798,0.16501469084357945,0.16096233688756129,0.16647203938640706,0.1528838902934419,0.1291798562899025,0.15941828917302292,0.16169388471954088,0.14547081276732304,0.16007420895190522,0.16708616769491932,0.2048054186673876,0.16797071271001252,0.1751207655547804,0.1626919495359402,0.14754848073376867,0.15731388043992262,0.16144933885238943,0.14956316203403405,0.16081761154936042,0.1727016510306452,0.1609512439832062,0.15817565706964382,0.15864257911097085,0.0,0.1608234448844621,0.14335223794200563
Z,0.16192091594840596,0.15238255634682607,0.15640947244565112,0.16735490225031302,0.1672452665772179,0.16059952394914578,0.143763142065121,0.1522086676446353,0.13593409494729497,0.1528616536121415,0.14966650419699237,0.1513876559667856,0.15765277590833376,0.15677220023391247,0.14715581838091546,0.1796387574628975,0.15143301207231064,0.15607902397577744,0.1367809867818363,0.16822089400071175,0.15425921394250755,0.157487799021752,0.15723232767190137,0.2144936847679155,0.15664145938392274,0.18952167463142683,0.15307588979780057,0.1433800275972179,0.082133666254838,0.19247830179115372,0.15183733659232163,0.14844520668923256,0.18549496871996451,0.165465506048262,0.15311769713237114,0.16977947878289923,0.18933478170199017,0.0,0.1972145676787369
ZH,0.16868397022705228,0.16551259371229357,0.1663709385156577,0.16451159494708262,0.1728493443728235,0.16451403978759638,0.157929835877823,0.15560497452405941,0.1643135168410773,0.16872750982764673,0.15921349481366062,0.1624066460978078,0.16327832325905234,0.1591533085927781,0.1536509400733306,0.1711626232753915,0.16468607732931034,0.16636961150329332,0.14841177860557964,0.15941932868012343,0.1531458843970404,0.15178785393573518,0.15403057987449792,0.21049688779842685,0.17041856496053492,0.18222160126022846,0.15099958244324702,0.15704201884698368,0.1646202690173027,0.10747425641168581,0.15924777461156198,0.16974234089907986,0.17713675789707367,0.15865677717325244,0.14517898249842676,0.1584879785856964,0.1387558308232447,0.1553345971237171,0.0
